# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      25     0.62261     0.14243     0.00000   -1.422742434   -2.439375703   -1.016633269
     1      25     0.62849     0.13226     0.00000   -1.404838414   -2.408786465   -1.003948051
     1      25     0.63436     0.12208     0.00000   -1.385657660   -2.376920235   -0.991262575
     1      25     0.64024     0.11191     0.00000   -1.365200970   -2.344529716   -0.979328746
     1      25     0.64611     0.10174     0.00000   -1.343548946   -2.313199723   -0.969650776
     1      25     0.65198     0.09156     0.00000   -1.320937779   -2.280910647   -0.959972868
     1      25     0.65786     0.08139     0.00000   -1.297708879   -2.248003887   -0.950295008
     1      25     0.66373     0.07122     0.00000   -1.274326875   -2.217167642   -0.942840768
     1      25     0.66960     0.06104     0.00000   -1.251395749   -2.189005842   -0.937610093
     1      25     0.67548     0.05087     0.00000   -1.229648138   -2.162027536   -0.932379397
     1      25     0.68135     0.04069     0.00000   -1.209909252   -2.137057913   -0.927148661
     1      25     0.68722     0.03052     0.00000   -1.193077764   -2.117464504   -0.924386740
